image,predictions
1.jpg,"yUweN, 129, `` LE .E., TU, (63"
10.jpg,
11.jpg,"SYS, 127ª 79"
12.jpg,== 67
13.jpg,"¥125 78, -"
14.jpg,"., -, ., ., .. ."
15.jpg,"T, ., 141- 84, ., ., ., ., ."
2.jpg,"9:37 .., 129, O, 82, '63"
3.jpg,"9:35, PM, DEI"
4.jpg,"., 125, EF, =140"
5.jpg,"9 37, 129"
6.jpg,"Sihocare, 1ª 120, 80, ---"
7.jpg,"----, 69, 92 HA"
8.jpg,
9.jpg,
